filename snp_col chr_col pos_col ea_col oa_col eaf_col beta_col se_col pval_col delimiter
qtl123.txt.gz 0 1 2 3 4 6 7 8 9 space
qtl124.txt.gz 0 1 2 3 4 6 7 8 9 space
qtl135.txt.gz 0 1 2 4 3 5 7 8 10 space
jbb-a-72.txt.gz 0 1 2 3 4 6 7 8 9 tab
jbb-a-73.txt.gz 0 1 2 3 4 6 7 8 9 tab
jbb-a-74.txt.gz 0 1 2 3 4 6 7 8 9 tab
cc8.txt.gz 0 1 2 4 3 6 8 10 11 tab
cc14.txt.gz 0 1 2 4 3 5 6 7 8 tab
cc15.txt.gz 0 1 2 3 4 5 7 8 9 tab
jbb-a-79.txt.gz 0 1 2 3 4 5 7 8 9 tab
jbb-a-80.txt.gz 0 1 2 3 4 5 7 8 9 tab
cc20.txt.gz 0 1 2 3 4 5 7 8 9 tab
jbb-a-82.txt.gz 0 1 2 3 4 5 7 8 9 tab
jbb-a-83.txt.gz 0 1 2 3 4 5 7 8 9 tab
